date,new_cases,total_vaccinations,stringency_index,stay_home_requirements,close_public_transport,cancel_public_events,facial_coverings,school_closures,TEMP,HUMIDITY,WIND
2020-11-25,25852,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-26,29001,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-27,28342,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-28,26315,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-29,20646,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-11-30,16376,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-01,19347,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-02,20709,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-03,23219,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-04,24110,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-05,21052,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-06,18887,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-07,13679,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-08,14837,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-09,12755,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-10,16998,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-11,18726,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-12,19902,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-13,17937,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-14,12025,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-15,14839,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-16,17568,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-17,18233,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-18,15401,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-19,16305,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-20,15102,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-21,10869,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-22,13316,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-23,13908,0,79.63,2,1,2,4,2,20.5,81.1,12.5
2020-12-24,18039,0,84.26,2,1,2,4,2,20.5,81.1,12.5
2020-12-25,19037,0,84.26,2,1,2,4,2,20.5,81.1,12.5
2020-12-26,10405,0,84.26,2,1,2,4,2,20.5,81.1,12.5
2020-12-27,8937,7014,84.26,2,1,2,4,2,20.5,81.1,12.5
2020-12-28,8581,7987,80.56,2,1,2,4,2,20.5,81.1,12.5
2020-12-29,11210,8917,80.56,2,1,2,4,2,20.5,81.1,12.5
2020-12-30,16202,13586,80.56,2,1,2,4,2,20.5,81.1,12.5
2020-12-31,23477,38871,84.26,2,1,2,4,2,25,81.1,14
2021-01-01,22210,49909,84.26,2,1,2,4,2,0,0,0
2021-01-02,11825,88399,84.26,2,1,2,4,2,67,66.3,75
2021-01-03,14245,123514,84.26,2,1,2,4,2,80,74.8,61
2021-01-04,10798,191924,84.26,2,1,2,4,2,81,79.6,11
2021-01-05,15375,271393,84.26,2,1,2,4,2,52,63.1,10
2021-01-06,20326,336508,84.26,2,1,2,4,2,42,51.6,57
2021-01-07,18416,428333,80.56,2,1,2,4,2,63,61.3,82
2021-01-08,17529,523601,80.56,2,1,2,4,2,57,63.2,61
2021-01-09,19976,610412,80.56,2,1,2,4,2,72,68.7,69
2021-01-10,18625,670718,80.56,2,1,2,4,2,65,74.5,72
2021-01-11,12530,751361,78.7,2,1,2,4,2,70,77.3,85
2021-01-12,14242,832787,78.7,2,1,2,4,2,63,70.4,62
2021-01-13,15773,926009,78.7,2,1,2,4,2,77,74.9,62
2021-01-14,17243,1018501,78.7,2,1,2,4,2,63,73.3,59
2021-01-15,16144,1106739,78.7,2,1,2,4,2,63,72.3,72
2021-01-16,16310,1171144,78.7,2,1,2,4,2,66,73.3,67
2021-01-17,12544,1207493,78.7,2,1,2,4,2,90,77.3,85
2021-01-18,8825,1249532,78.7,2,1,2,4,2,92,85.3,99
2021-01-19,10496,1281512,78.7,2,1,2,4,2,97,76.8,16
2021-01-20,13568,1311174,78.7,2,1,2,4,2,97,48.4,11
2021-01-21,14055,1345803,78.7,2,1,2,4,2,8,54.7,69
2021-01-22,13633,1371714,78.7,2,1,2,4,2,79,75.1,57
2021-01-23,13331,1410056,78.7,2,1,2,4,2,97,80.2,86
2021-01-24,11628,1443671,78.7,2,1,2,4,2,11,75.3,13
2021-01-25,8559,1512127,78.7,2,1,2,4,2,92,78.2,57
2021-01-26,10584,1591763,78.7,2,1,2,4,2,94,83.4,54
2021-01-27,15191,1662019,78.7,2,1,2,4,2,11,85,11
2021-01-28,14360,1755007,78.7,2,1,2,4,2,10,82.5,78
